keyword,match_type,ad_group,status,healthy_impr,healthy_clicks,healthy_cost,healthy_conv,bad_impr,bad_clicks,bad_cost,bad_conv,recovery_impr,recovery_clicks,recovery_cost,recovery_conv
gevelisolatie kosten per m2,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevelisolatie met steenstrips,EXACT,Gevelisolatie - Afwerking,ENABLED,8,4,7.64,0.0,18,2,2.31,0.0,14,3,3.05,0.0
gevelisolatie met steenstrips,PHRASE,Gevelisolatie - Afwerking,ENABLED,30,4,7.3,2.0,23,0,0.0,0.0,34,3,4.81,0.0
gevelisolatie met stucwerk,EXACT,Gevelisolatie - Afwerking,ENABLED,52,7,9.24,1.0,60,8,14.31,0.0,48,6,9.0,0.0
gevelisolatie met stucwerk,PHRASE,Gevelisolatie - Afwerking,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevelisolatie offerte,EXACT,Gevelisolatie - Offerte,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevelisolatie offerte,PHRASE,Gevelisolatie - Offerte,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevelisolatie platen,EXACT,Gevelisolatie - Materialen,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevelisolatie platen,PHRASE,Gevelisolatie - Materialen,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevelisolatie prijs per m2,EXACT,Gevelisolatie - Kosten & Prijs,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevelisolatie prijs per m2,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevelisolatie rc waarde,EXACT,Gevelisolatie - Technisch,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevelisolatie rc waarde,PHRASE,Gevelisolatie - Technisch,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevelisolatie specialist,EXACT,Gevelisolatie - Offerte,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevelisolatie specialist,PHRASE,Gevelisolatie - Offerte,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevelisolatie stucwerk,EXACT,Gevelisolatie - Afwerking,ENABLED,3,0,0.0,0.0,0,0,0.0,0.0,11,1,1.02,0.0
gevelisolatie stucwerk,PHRASE,Gevelisolatie - Afwerking,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevelisolatie subsidie,EXACT,Gevelisolatie - Subsidie & Vergunning,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevelisolatie subsidie,PHRASE,Gevelisolatie - Subsidie & Vergunning,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevelisolatie vergunning,EXACT,Gevelisolatie - Subsidie & Vergunning,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevelisolatie vergunning,PHRASE,Gevelisolatie - Subsidie & Vergunning,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
hoeveel kost buitengevelisolatie,EXACT,Gevelisolatie - Kosten & Prijs,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
hoeveel kost buitengevelisolatie,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
huis aan buitenkant isoleren,EXACT,Gevelisolatie - Core,ENABLED,1,0,0.0,0.0,1,1,0.44,0.0,1,0,0.0,0.0
huis aan buitenkant isoleren,PHRASE,Gevelisolatie - Core,ENABLED,60,6,4.77,0.0,24,8,10.04,0.0,33,6,3.48,0.0
huis aan de buitenkant isoleren,EXACT,Gevelisolatie - Core,ENABLED,13,1,1.03,0.0,14,2,3.76,0.0,26,2,1.76,0.0
huis aan de buitenkant isoleren,PHRASE,Gevelisolatie - Core,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
huis isolatie buitenkant,EXACT,Gevelisolatie - Core,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
huis isolatie buitenkant,PHRASE,Gevelisolatie - Core,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
huis isoleren buitenkant,EXACT,Gevelisolatie - Core,ENABLED,100,16,12.66,0.0,32,3,2.63,0.0,42,4,9.94,0.0
huis isoleren buitenkant,PHRASE,Gevelisolatie - Core,ENABLED,0,0,0.0,0.0,2,0,0.0,0.0,0,0,0.0,0.0
huis van buiten isoleren,EXACT,Gevelisolatie - Core,ENABLED,4,3,1.98,0.0,1,0,0.0,0.0,6,0,0.0,0.0
huis van buiten isoleren,PHRASE,Gevelisolatie - Core,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
isolatie buitengevel,EXACT,Gevelisolatie - Core,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
isolatie buitengevel,PHRASE,Gevelisolatie - Core,ENABLED,78,8,11.23,0.0,31,4,5.2,0.0,67,6,8.68,0.0
isolatie buitenmuren,EXACT,Gevelisolatie - Core,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
isolatie buitenmuren,PHRASE,Gevelisolatie - Core,ENABLED,19,0,0.0,0.0,10,0,0.0,0.0,6,1,0.51,0.0
isolatie huis buitenkant,EXACT,Gevelisolatie - Materialen,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
isolatie huis buitenkant,PHRASE,Gevelisolatie - Materialen,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
isolatie voorgevel,EXACT,Gevelisolatie - Core,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
isolatie voorgevel,PHRASE,Gevelisolatie - Core,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
isolatiebedrijf rotterdam,EXACT,Gevelisolatie - Offerte,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
isolatiebedrijf rotterdam,PHRASE,Gevelisolatie - Offerte,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
isolatiebedrijf rotterdam offerte,EXACT,Gevelisolatie - Offerte,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
isolatiebedrijf rotterdam offerte,PHRASE,Gevelisolatie - Offerte,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
isoleren gevel buitenzijde,EXACT,Gevelisolatie - Core,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
isoleren gevel buitenzijde,PHRASE,Gevelisolatie - Core,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,1,0,0.0,0.0
kingspan buitengevelisolatie,EXACT,Gevelisolatie - Materialen,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
kingspan buitengevelisolatie,PHRASE,Gevelisolatie - Materialen,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
kosten buitengevelisolatie,EXACT,Gevelisolatie - Kosten & Prijs,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
kosten buitengevelisolatie,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
kosten buitenmuur isoleren,EXACT,Gevelisolatie - Kosten & Prijs,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
kosten buitenmuur isoleren,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
kosten gevelisolatie,EXACT,Gevelisolatie - Kosten & Prijs,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
kosten gevelisolatie,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
koudebrug gevel oplossen,EXACT,Gevelisolatie - Technisch,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
koudebrug gevel oplossen,PHRASE,Gevelisolatie - Technisch,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
minerale wol buitengevelisolatie,EXACT,Gevelisolatie - Materialen,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
minerale wol buitengevelisolatie,PHRASE,Gevelisolatie - Materialen,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
muur aan buitenkant isoleren,EXACT,Gevelisolatie - Core,ENABLED,1,0,0.0,0.0,0,0,0.0,0.0,1,0,0.0,0.0
muur aan buitenkant isoleren,PHRASE,Gevelisolatie - Core,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
muurisolatie,EXACT,Gevelisolatie - Materialen,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
muurisolatie,PHRASE,Gevelisolatie - Materialen,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
muurisolatie buitenmuur,EXACT,Gevelisolatie - Core,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
muurisolatie buitenmuur,EXACT,Gevelisolatie - Materialen,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
muurisolatie buitenmuur,PHRASE,Gevelisolatie - Core,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
muurisolatie buitenmuur,PHRASE,Gevelisolatie - Materialen,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
muurisolatie buitenzijde,EXACT,Gevelisolatie - Core,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
muurisolatie buitenzijde,EXACT,Gevelisolatie - Materialen,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
muurisolatie buitenzijde,PHRASE,Gevelisolatie - Core,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
muurisolatie buitenzijde,PHRASE,Gevelisolatie - Materialen,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
muurisolatie buitenzijde details,EXACT,Gevelisolatie - Technisch,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
muurisolatie buitenzijde details,PHRASE,Gevelisolatie - Technisch,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
nieuwe gevel plaatsen met isolatie,EXACT,Gevelisolatie - Afwerking,ENABLED,4,0,0.0,0.0,1,0,0.0,0.0,0,0,0.0,0.0
nieuwe gevel plaatsen met isolatie,PHRASE,Gevelisolatie - Afwerking,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
pir buitengevelisolatie,EXACT,Gevelisolatie - Materialen,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
pir buitengevelisolatie,PHRASE,Gevelisolatie - Materialen,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
pir gevelisolatie,EXACT,Gevelisolatie - Materialen,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
pir gevelisolatie,PHRASE,Gevelisolatie - Materialen,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
polystuc buitengevelisolatie,EXACT,Gevelisolatie - Afwerking,ENABLED,4,1,0.5,0.0,0,0,0.0,0.0,0,0,0.0,0.0
polystuc buitengevelisolatie,EXACT,Gevelisolatie - Materialen,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
polystuc buitengevelisolatie,PHRASE,Gevelisolatie - Afwerking,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
polystuc buitengevelisolatie,PHRASE,Gevelisolatie - Materialen,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
rc waarde gevelisolatie,EXACT,Gevelisolatie - Technisch,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
rc waarde gevelisolatie,PHRASE,Gevelisolatie - Technisch,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
steenstrips buitengevel met isolatie,EXACT,Gevelisolatie - Afwerking,ENABLED,1,0,0.0,0.0,5,0,0.0,0.0,7,2,2.24,0.0
steenstrips buitengevel met isolatie,PHRASE,Gevelisolatie - Afwerking,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
subsidie buitengevelisolatie,EXACT,Gevelisolatie - Subsidie & Vergunning,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
subsidie buitengevelisolatie,PHRASE,Gevelisolatie - Subsidie & Vergunning,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
subsidie gevel isoleren,EXACT,Gevelisolatie - Subsidie & Vergunning,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
subsidie gevel isoleren,PHRASE,Gevelisolatie - Subsidie & Vergunning,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
subsidie isolatie buitenmuur,EXACT,Gevelisolatie - Subsidie & Vergunning,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
subsidie isolatie buitenmuur,PHRASE,Gevelisolatie - Subsidie & Vergunning,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
wat kost buitengevelisolatie,EXACT,Gevelisolatie - Kosten & Prijs,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
wat kost buitengevelisolatie,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
